cntid,score
5406518,96.52941176
5360662,77.35294118
5368551,49.82352941
5367185,42.58823529
5433065,41.64705882
5365141,40.82352941
5354823,39.05882353
5384472,34.94117647
5374087,34.88235294
5363887,33.82352941
5413352,28.94117647
5367184,28.35294118
5363693,26.29411765
5365908,26.0
5391268,25.76470588
5373180,22.35294118
5381747,21.82352941
5483435,21.52941176
5430300,21.35294118
5436597,19.17647059
5442333,18.94117647
5391425,18.82352941
5400457,18.47058824
5362240,17.52941176
5441363,17.47058824
5391291,17.23529412
5418315,16.23529412
5373038,15.94117647
5379375,15.82352941
5411960,15.35294118
5377874,15.17647059
5384116,14.58823529
5391774,14.29411765
5373828,13.88235294
5442415,13.05882353
5368969,12.82352941
5386053,12.76470588
5377619,12.35294118
5426867,12.23529412
5524268,11.94117647
5391439,11.70588235
5375336,11.29411765
5356753,11.29411765
5364878,10.76470588
5400908,10.58823529
5369998,10.58823529
5385373,10.52941176
5354557,10.41176471
5383313,10.17647059
5379423,10.17647059
5548249,10.11764706
5489643,9.882352941
5391000,9.764705882
5382081,9.705882353
5364344,9.588235294
5404163,9.470588235
5418103,9.470588235
5393368,9.470588235
5419680,9.352941176
5413512,9.294117647
5364018,9.176470588
5359305,9.058823529
5355024,9.0
5433040,8.882352941
5371663,8.764705882
5363124,8.647058824
5390206,8.470588235
5697328,8.176470588
5355920,8.117647059
5382905,8.117647059
5571218,8.117647059
5712391,8.0
5354895,7.882352941
5388974,7.882352941
5368341,7.764705882
5393647,7.764705882
5373240,7.647058824
5427630,7.470588235
5442060,7.470588235
5418489,7.470588235
5376193,7.235294118
5399106,7.176470588
5502383,7.176470588
5389158,7.176470588
5406837,7.117647059
5355659,7.117647059
5370894,6.882352941
5745924,6.823529412
5407498,6.823529412
5393378,6.764705882
5360811,6.647058824
5366153,6.647058824
5371815,6.588235294
5464656,6.470588235
5428226,6.352941176
5625301,6.352941176
5551483,6.294117647
5842087,6.294117647
5565997,6.235294118
5414546,6.235294118
5376131,6.176470588
5362777,6.117647059
5456666,6.058823529
5357180,5.941176471
5502384,5.941176471
5356602,5.941176471
5357181,5.882352941
5379254,5.823529412
5597077,5.823529412
5354892,5.823529412
5417544,5.647058824
5356896,5.529411765
5428242,5.470588235
5428737,5.352941176
5571217,5.352941176
5377053,5.352941176
5376035,5.294117647
5384968,5.294117647
5362836,5.235294118
5386249,5.235294118
5358690,5.235294118
5404513,5.176470588
5399856,5.117647059
5440452,5.117647059
5389143,5.117647059
5392091,5.058823529
5370413,5.0
5396361,5.0
5452311,5.0
5369939,5.0
5355254,4.941176471
5393250,4.882352941
5399107,4.882352941
5356836,4.882352941
5697329,4.882352941
5376355,4.823529412
5426705,4.823529412
5388678,4.823529412
5376268,4.823529412
5405372,4.823529412
5511686,4.764705882
5371900,4.764705882
5550447,4.647058824
5565295,4.647058824
